event_key,event_name,event_type,event_location,event_location_size,event_begin_date,event_end_date,city
210,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,6/19/2016,6/19/2016,Denver
211,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,6/20/2016,6/20/2016,Denver
212,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,6/21/2016,6/21/2016,Denver
213,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,6/22/2016,6/22/2016,Denver
214,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,6/23/2016,6/23/2016,Denver
215,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,6/24/2016,6/24/2016,Denver
216,international jazz festival ,music ,"750 Hornby St, Vancouver, BC V6Z 2H7",46000,6/24/2016,7/3/2016,vancourver
217,Westword Music Showcase,music,"1080-1098 Acoma St, Denver, CO 80206",,6/25/2016,6/25/2016,Denver
218,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,6/25/2016,6/25/2016,Denver
219,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,6/26/2016,6/26/2016,Denver
220,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,6/27/2016,6/27/2016,Denver
221,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,6/28/2016,6/28/2016,Denver
222,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,6/29/2016,6/29/2016,Denver
223,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,7/1/2016,7/1/2016,Denver
224,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,7/2/2016,7/2/2016,Denver
225,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,7/3/2016,7/3/2016,Denver
226,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,7/4/2016,7/4/2016,Denver
227,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,7/5/2016,7/5/2016,Denver
228,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,7/6/2016,7/6/2016,Denver
229,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,7/7/2016,7/7/2016,Denver
230,The Ride Festival,music,"502 E Colorado Ave, Telluride, CO 81435",,7/8/2016,7/9/2016,Denver
231,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,7/8/2016,7/8/2016,Denver
232,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,7/9/2016,7/9/2016,Denver
233,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,7/10/2016,7/10/2016,Denver
234,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,7/15/2016,7/15/2016,Denver
235,folk music festival,music ," 3941 Point Grey Rd, Vancouver, BC V6R 1B5",38000,7/15/2016,7/17/2016,vancourver
236,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,7/16/2016,7/16/2016,Denver
237,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,7/17/2016,7/17/2016,Denver
238,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,7/18/2016,7/18/2016,Denver
239,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,7/19/2016,7/19/2016,Denver
240,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,7/20/2016,7/20/2016,Denver
241,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,7/21/2016,7/21/2016,Denver
242,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,7/22/2016,7/22/2016,Denver
243,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,7/23/2016,7/23/2016,Denver
244,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,7/24/2016,7/24/2016,Denver
